,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Company Type,Status
281,N/A,N/A,joy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,status
282,N/A,N/A,jpm,N/A,N/A,N/A,N/A,N/A,N/A,15.10,3.89,1.59,28.85,38.65,1.06,10.51,26.37,363540000000.0,113460000000.0,13.72,1.71,1.22,28.85,1.22,90310000000.0,28.85,N/A,6.94,7.10,2.00,300.92,300.92,579810000000.0,65.72,65.72,1.29,1.29,0.71,75.73,N/A,1.66,0.73,N/A,Financials,status
283,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,N/A,21.55,0.51,9.63,2.43,6.95,8.00,42.28,88.29,7580000000.0,9380000000.0,15.53,2.59,0.62,5.56,0.62,5320000000.0,5.56,N/A,2.11,6.00,3.90,5.53,5.53,2740000000.0,1.01,4.72,1370000000.0,0.63,31.42,60.62,N/A,7.68,24.15,N/A,Consumer Discretionary,status
284,N/A,N/A,k,N/A,N/A,N/A,N/A,N/A,N/A,29.87,1.78,12.45,6.12,13.76,7.11,40.73,36.55,22800000000.0,30800000000.0,15.49,2.56,2.41,13.59,2.41,4750000000.0,13.59,N/A,2.21,0.70,2.50,0.97,0.97,8300000000.000001,0.68,5.30,1630000000.0,0.13,0.65,91.75,N/A,7.47,5.41,N/A,Consumer Staples,status
285,N/A,N/A,key,N/A,N/A,N/A,N/A,N/A,N/A,19.00,3.61,1.47,19.98,36.00,0.96,8.55,5.40,20570000000.0,34620000000.0,12.67,1.73,6.08,19.98,6.08,1070000000.0000001,19.98,N/A,1.01,104.00,47.00,2330000000.0,2.14,16270000000.0,13.02,13.02,0.91,0.91,0.32,82.35,N/A,0.88,0.91,N/A,Financials,status
286,N/A,N/A,kim,N/A,N/A,N/A,N/A,N/A,N/A,37.68,6.70,1.51,21.70,32.04,2.05,4.92,2.78,7870000000.0,13120000000.0,30.33,5.03,11.17,17.16,11.17,872270000.0,17.16,N/A,0.49,29.50,2.00,143100000.0,0.34,5390000000.0,2.57,12.29,676280000.0,0.39,2.67,94.42,N/A,2.05,4.79,N/A,Real Estate,status
287,N/A,N/A,klac,N/A,N/A,N/A,N/A,N/A,N/A,17.66,4.68,12.28,26.61,36.67,15.20,91.89,22.24,16280000000.000002,15950000000.0,13.76,1.24,4.58,11.95,4.58,2190000000.0,11.95,N/A,5.88,5.70,2.10,3020000000.0,19.23,2930000000.0,3.40,8.46,1080000000.0,1.84,0.18,93.71,N/A,2.03,1.39,N/A,Information Technology,status
288,N/A,N/A,kmb,N/A,N/A,N/A,N/A,N/A,N/A,20.12,2.33,416.99,11.82,18.47,14.06,581.72,50.94,42390000000.0,49610000000.0,18.45,3.55,2.73,12.19,2.73,6650000000.0,12.19,N/A,5.99,6.20,0.70,1050000000.0,2.97,8080000000.0,0.92,0.29,3080000000.0,0.69,0.34,73.86,N/A,4.79,2.03,N/A,Consumer Staples,status
289,N/A,N/A,kmi,N/A,N/A,N/A,N/A,N/A,N/A,57.46,2.89,1.10,0.00,27.80,13460000000.0,13460000000.0,6.03,38880000000.0,57.46,24.52,2.69,0.00,0.00,0.00,7260000000.0,0.00,N/A,0.30,38320000000.0,7260000000.0,38320000000.0,38320000000.0,38320000000.0,15.76,15.76,4590000000.0,0.64,13.54,62.70,N/A,1.89,1.32,N/A,Energy,status
290,N/A,N/A,kmx,N/A,N/A,N/A,N/A,N/A,N/A,18.83,0.71,3.89,3.90,6.62,4.47,21.79,93.98,12470000000.0,25060000000.0,16.80,1.37,1.43,18.83,1.43,2180000000.0,18.83,N/A,3.63,11.70,9.90,0.14,0.14,12600000000.0,2.33,17.60,354030000.0,1.50,0.58,108.65,N/A,8.13,14.16,N/A,Consumer Discretionary,status
