,Company Type,Ticker
265,Information Technology,intu
266,Materials,ip
267,Consumer Discretionary,ipg
268,Industrials,ir
269,Real Estate,irm
270,Health Care,isrg
271,Industrials,itw
272,Financials,ivz
273,Financials,jbl
274,Industrials,jci
275,Industrials,jcp
276,Industrials,jdsu
277,Industrials,jec
278,Health Care,jnj
279,Information Technology,jnpr
280,Information Technology,josb
281,Information Technology,joy
282,Financials,jpm
283,Consumer Discretionary,jwn
284,Consumer Staples,k
285,Financials,key
286,Real Estate,kim
287,Information Technology,klac
288,Consumer Staples,kmb
289,Energy,kmi
290,Consumer Discretionary,kmx
291,Consumer Staples,ko
292,Consumer Staples,kr
293,Consumer Staples,krft
294,Consumer Discretionary,kss
295,Industrials,ksu
296,Financials,l
297,Consumer Discretionary,leg
298,Consumer Discretionary,len
299,Health Care,lh
300,Health Care,life
301,Industrials,lll
302,Industrials,lltc
303,Health Care,lly
304,Health Care,lm
305,Industrials,lmt
306,Financials,lnc
307,Financials,lo
308,Consumer Discretionary,low
309,Information Technology,lrcx
310,Information Technology,lsi
311,Information Technology,ltd
312,Financials,luk
313,Industrials,luv
314,Materials,lyb
315,Consumer Discretionary,m
316,Information Technology,ma
317,Real Estate,mac
318,Consumer Discretionary,mar
319,Industrials,mas
320,Consumer Discretionary,mat
321,Consumer Discretionary,mcd
322,Information Technology,mchp
323,Health Care,mck
324,Financials,mco
325,Financials,mcp
326,Financials,mdlz
327,Health Care,mdt
328,Financials,met
329,Consumer Discretionary,mgm
330,Consumer Discretionary,mhfi
331,Consumer Discretionary,mjn
332,Consumer Staples,mkc
333,Financials,mmc
334,Industrials,mmm
335,Consumer Staples,mnst
336,Consumer Staples,mo
337,Consumer Staples,molx
338,Materials,mon
339,Materials,mos
340,Energy,mpc
341,Health Care,mrk
342,Energy,mro
343,Financials,ms
344,Information Technology,msft
345,Information Technology,msi
346,Financials,mtb
347,Information Technology,mu
348,Information Technology,mur
349,Information Technology,mwv
350,Health Care,myl
351,Energy,nbl
352,Energy,nbr
353,Financials,ndaq
354,Financials,ne
355,Utilities,nee
356,Materials,nem
357,Information Technology,nflx
358,Energy,nfx
359,Utilities,ni
360,Utilities,nile
361,Consumer Discretionary,nke
362,Consumer Discretionary,nly
363,Industrials,noc
364,Industrials,nok
365,Energy,nov
366,Utilities,nrg
367,Industrials,nsc
368,Information Technology,ntap
369,Information Technology,ntri
370,Financials,ntrs
371,Utilities,nu
372,Materials,nue
373,Materials,nus
374,Information Technology,nvda
375,Consumer Discretionary,nwl
376,Consumer Discretionary,nwsa
377,Consumer Discretionary,nyx
378,Consumer Discretionary,oi
379,Energy,oke
380,Consumer Discretionary,omc
381,Information Technology,orcl
382,Consumer Discretionary,orly
383,Energy,oxy
384,Energy,p
385,Information Technology,payx
386,Financials,pbct
387,Financials,pbi
388,Industrials,pcar
389,Utilities,pcg
390,Utilities,pcl
391,Consumer Discretionary,pcln
392,Consumer Discretionary,pcp
393,Health Care,pdco
394,Utilities,peg
395,Consumer Staples,pep
396,Consumer Staples,petm
397,Consumer Staples,pets
398,Health Care,pfe
399,Financials,pfg
400,Consumer Staples,pg
401,Financials,pgr
402,Industrials,ph
403,Consumer Discretionary,phm
404,Health Care,pki
405,Real Estate,pld
406,Real Estate,pll
407,Consumer Staples,pm
408,Financials,pnc
409,Industrials,pnr
410,Utilities,pnw
411,Utilities,pom
412,Materials,ppg
413,Utilities,ppl
414,Health Care,prgo
415,Financials,pru
416,Real Estate,psa
417,Energy,psx
418,Energy,pvtb
419,Industrials,pwr
420,Materials,px
421,Energy,pxd
422,Information Technology,qcom
423,Information Technology,qdel
424,Information Technology,qep
425,Information Technology,r
426,Information Technology,rai
427,Information Technology,rdc
428,Financials,rf
429,Industrials,rhi
430,Information Technology,rht
431,Consumer Discretionary,rl
432,Industrials,rok
433,Industrials,rop
434,Consumer Discretionary,rost
435,Energy,rrc
436,Industrials,rsg
437,Industrials,rsh
438,Industrials,rtn
439,Industrials,s
440,Industrials,sai
441,Consumer Discretionary,sbux
442,Utilities,scg
443,Utilities,schl
444,Financials,schw
445,Financials,sd
446,Financials,se
447,Materials,see
448,Materials,sfly
449,Materials,shld
450,Materials,shw
451,Materials,sial
452,Materials,siri
453,Consumer Staples,sjm
454,Consumer Staples,sks
455,Energy,slb
456,Energy,slm
457,Consumer Discretionary,sna
458,Consumer Discretionary,sndk
459,Consumer Discretionary,sne
460,Consumer Discretionary,sni
461,Consumer Discretionary,snts
462,Utilities,so
463,Real Estate,spg
464,Real Estate,spls
465,Industrials,srcl
466,Utilities,sre
467,Financials,sti
468,Financials,stj
469,Financials,stt
470,Information Technology,stx
471,Consumer Staples,stz
472,Consumer Discretionary,swk
473,Consumer Discretionary,swn
474,Consumer Discretionary,swy
475,Health Care,syk
476,Information Technology,symc
477,Consumer Staples,syy
478,Telecommunication Services,t
479,Consumer Staples,tap
480,Consumer Staples,tdc
481,Consumer Staples,te
482,Consumer Staples,teg
483,Information Technology,tel
484,Information Technology,ter
485,Consumer Discretionary,tgt
486,Consumer Discretionary,thc
487,Consumer Discretionary,tibx
488,Consumer Discretionary,tif
489,Consumer Discretionary,tjx
490,Consumer Discretionary,tm
491,Financials,tmk
492,Health Care,tmo
493,Consumer Discretionary,trip
494,Financials,trow
495,Financials,trv
496,Financials,tsla
497,Consumer Staples,tsn
498,Consumer Staples,tso
499,Information Technology,tss
500,Information Technology,twc
501,Consumer Discretionary,twx
502,Information Technology,txn
503,Industrials,txt
504,Industrials,tyc
505,Consumer Discretionary,ua
506,Health Care,unh
507,Financials,unm
508,Industrials,unp
509,Industrials,ups
510,Industrials,urbn
511,Financials,usb
512,Industrials,utx
513,Information Technology,v
514,Information Technology,vale
515,Health Care,var
516,Consumer Discretionary,vfc
517,Consumer Discretionary,viab
518,Consumer Discretionary,vitc
519,Energy,vlo
520,Materials,vmc
521,Real Estate,vno
522,Real Estate,vprt
523,Information Technology,vrsn
524,Real Estate,vtr
525,Telecommunication Services,vz
526,Telecommunication Services,wag
527,Health Care,wat
528,Information Technology,wdc
529,Utilities,wec
530,Financials,wfc
531,Financials,wfm
532,Financials,wgo
533,Consumer Discretionary,whr
534,Consumer Discretionary,win
535,Consumer Discretionary,wlp
536,Industrials,wm
537,Energy,wmb
538,Consumer Staples,wmt
539,Consumer Staples,wpo
540,Consumer Staples,wpx
541,Consumer Staples,wtw
542,Information Technology,wu
543,Real Estate,wy
544,Consumer Discretionary,wyn
545,Consumer Discretionary,wynn
546,Consumer Discretionary,x
547,Utilities,xel
548,Financials,xl
549,Information Technology,xlnx
550,Energy,xom
551,Health Care,xray
552,Information Technology,xrx
553,Industrials,xyl
554,Industrials,yhoo
555,Consumer Discretionary,yum
556,Financials,zion
557,Financials,zlc
558,Financials,zmh
559,Financials,znga
